Número da Carga;Data da Carga;Inicio Emissão Doc.;Fim Emissão Doc.;Transportador;Filial;Veículo;Modelo do Veículo;Tipo de Carga;Tipo de Operação;Rota;Nº Pedido Embarcador;Nº Pedido Interno;Km Rodado;Grupo de Pessoas;Código Remetente;Remetente;Origem;UF Origem;Código Destinatário;Destinatário;Destino;UF Destino;Categoria Destinatário;Entregas;Peso Carga;Situação;Valor ICMS;Valor NF;Valor Frete;Pallets;Motoristas;MDF-es;Contrato de Frete;Nº Carga Agrupada;Data Carregamento;CNPJ do Transportador;Data Descarregamento
"494500018457";"28/02/2025 06:10";"";"28/02/2025 07:21";"TRANSPORTES FRAMENTO LTDA";"7471 - Sams REFRIO - SP";"GHG9C18, MFS2395";"Carreta Refrigerada";"RESFRIADA";"FRETE DEDICADO";"7471 - 6546 + 4932 + 4415";"";"";95,00;"SAMS SAD";"7471";"SAMS SAD";"ITAPECERICA DA SERRA - SP";"SP";"6546, 4932, 4415";"SAMS SAD";"OSASCO - SP / BARUERI - SP / SAO PAULO - SP";"SP";"Loja";3;0,00;"Finalizada";63,96;0,00;533,03;0,00;"285.247.729-72 - ADELIDIO NOGUEIRA LIMA 		";"";"7 - 7 - SP - Framento -Por KM -Conjunto";"97646";"";"00.766.315/0003-06";""
"494500018447";"27/02/2025 11:09";"";"28/02/2025 07:21";"TRANSPORTES FRAMENTO LTDA";"7471 - Sams REFRIO - SP";"GHG9C18, MFS2395";"Carreta Refrigerada";"RESFRIADA";"FRETE DEDICADO";"7471 - 4932";"";"";95,00;"SAMS SAD";"7471";"SAMS SAD";"ITAPECERICA DA SERRA - SP";"SP";"4932";"SAMS SAD";"BARUERI - SP";"SP";"Loja";1;0,00;"Finalizada";0,02;0,00;0,20;0,00;"285.247.729-72 - ADELIDIO NOGUEIRA LIMA 		";"";"7 - 7 - SP - Framento -Por KM -Conjunto";"97646";"";"00.766.315/0003-06";""
"494500018446";"27/02/2025 11:03";"";"28/02/2025 07:21";"TRANSPORTES FRAMENTO LTDA";"7471 - Sams REFRIO - SP";"GHG9C18, MFS2395";"Carreta Refrigerada";"RESFRIADA";"FRETE DEDICADO";"7471 - 6546";"";"";95,00;"SAMS SAD";"7471";"SAMS SAD";"ITAPECERICA DA SERRA - SP";"SP";"6546";"SAMS SAD";"OSASCO - SP";"SP";"Loja";1;0,00;"Finalizada";0,25;0,00;2,08;0,00;"285.247.729-72 - ADELIDIO NOGUEIRA LIMA 		";"";"7 - 7 - SP - Framento -Por KM -Conjunto";"97646";"";"00.766.315/0003-06";""
"494500018408";"25/02/2025 11:16";"";"28/02/2025 07:21";"TRANSPORTES FRAMENTO LTDA";"7471 - Sams REFRIO - SP";"GHG9C18, MFS2395";"Carreta Refrigerada";"RESFRIADA";"FRETE DEDICADO";"7471 - 6546";"";"";95,00;"SAMS SAD";"7471";"SAMS SAD";"ITAPECERICA DA SERRA - SP";"SP";"6546";"SAMS SAD";"OSASCO - SP";"SP";"Loja";1;0,00;"Finalizada";0,15;0,00;1,22;0,00;"285.247.729-72 - ADELIDIO NOGUEIRA LIMA 		";"";"7 - 7 - SP - Framento -Por KM -Conjunto";"97646";"";"00.766.315/0003-06";""
