Número da Carga;Data da Carga;Inicio Emissão Doc.;Fim Emissão Doc.;Transportador;Filial;Veículo;Modelo do Veículo;Tipo de Carga;Tipo de Operação;Rota;Nº Pedido Embarcador;Nº Pedido Interno;Km Rodado;Grupo de Pessoas;Código Remetente;Remetente;Origem;UF Origem;Código Destinatário;Destinatário;Destino;UF Destino;Categoria Destinatário;Entregas;Peso Carga;Situação;Valor ICMS;Valor NF;Valor Frete;Pallets;Motoristas;MDF-es;Contrato de Frete;Nº Carga Agrupada;Data Carregamento;CNPJ do Transportador;Data Descarregamento
"4039575";"24/02/2025 19:48";"";"24/02/2025 20:09";"A FILHO E N FILHO LTDA";"CDHP - CD PARANA";"SFF2C26, MIB6H27";"Carreta Refrigerada";"CARGA PALETIZADA";"FRETE AVULSO";"CDHP - LDB";"";"";390,00;"CARREFOUR COMERCIO E INDUSTRIA LTDA";"CDHP";"CARREFOUR COMERCIO E INDUSTRIA LTDA";"PINHAIS - PR";"PR";"LDB";"CARREFOUR COMERCIO E INDUSTRIA LTDA";"LONDRINA - PR";"PR";"Loja";1;0,00;"Finalizada";0,00;0,00;3.044,43;0,00;"";"";"";"97076";"";"00.634.601/0001-56";""
"4038587";"24/02/2025 18:40";"";"24/02/2025 20:09";"A FILHO E N FILHO LTDA";"CDHP - CD PARANA";"SFF2C26, MIB6H27";"Carreta Refrigerada";"CARGA PALETIZADA";"FRETE AVULSO";"CDHP - LDB";"";"";390,00;"CARREFOUR COMERCIO E INDUSTRIA LTDA";"PTFR";"CARREFOUR COMERCIO E INDUSTRIA LTDA";"PINHAIS - PR";"PR";"LDB";"CARREFOUR COMERCIO E INDUSTRIA LTDA";"LONDRINA - PR";"PR";"Loja";1;0,00;"Finalizada";0,00;0,00;2.455,57;0,00;"";"";"";"97076";"";"00.634.601/0001-56";""
